,Haiku,Sexe réel,Sexe prédit,Proba prédite homme,Proba prédite femme
2582,lever du drapeau -\\l'uniforme de vieux vétéran\\pendouille,H,H,0.0,1.0
1194,lune ronde\\à la porte la vieille égrène\\son chapelet,F,H,0.0,1.0
1323,Deux ailes d'oiseau\\ton rouge à lèvres\\sur l'harmonica,H,H,0.0,1.0
1277,blottis tout l’hiver\\les décolletés blancs\\tremblotent enfin,H,F,1.0,0.0
517,neige fraîche . . . \\à côté du nouveau calendrier\\une ardoise propre,F,H,0.0,1.0
3005,en blouson noir\\sous des arbres\\aux fleurs roses,H,F,1.0,0.0
271,croissant de lune --\\elle coupe ses ongles\\dans le jardin,H,H,0.0,1.0
1690,Une soeur et un moine\\lisent ensemble un livre\\en deux langues,F,F,1.0,0.0
2171,odeur de paille sèche -\\les lumières d'une moissonneuse\\au fond de la nuit,H,H,0.0,1.0
1450,Pieds dans le lac ~\\Autour de mes chevilles\\quelques nuages,F,H,0.0,1.0
1208,Décombres-\\dans l'œil vide de la poupée\\les gouttes de la pluie tombent,H,H,0.0,1.0
2744,une longue réunion --\\du marqueur indélébile\\sur le tableau,H,H,0.0,1.0
441,(la bruyère encore en fleur -\\un long chemin pour conduire Maman\\de retour à l'hospice),H,H,0.0,1.0
2618,dimanche sans fin -\\un bonhomme de neige\\dans la cour de l'école,H,H,0.0,1.0
2415,me souvenant de toi\\froid et chaud\\dans la même brise,H,H,0.0,1.0
342,soir de printemps\\le croissant de la lune éclaire\\le reste de la lune,H,H,0.0,1.0
1335,sa peau scintille dans la lueur de la télévision pluie sur la fenêtre,H,H,0.0,1.0
385,Petite pluie fine\\Dans la benne aux encombrants\\des jouets meurtris,H,F,1.0,0.0
215,   Sur la baie\\   la pleine lune d'Août monte\\   comme les jours raccourcissent,F,F,1.0,0.0
2725,dans l'ombre du jardin\\le soleil marque\\le rouge de la crête du coq,H,H,0.0,1.0
2681,Les hurlements du vent et\\les cèdres qui se balancent --\\marins ivres,F,F,1.0,0.0
822,lune pâle -\\les os blanchis au soleil\\d'un moineau,H,H,0.0,1.0
338,mon plan de retraite\\les rides\\dans une flaque de boue,H,H,0.0,1.0
2953,la veranda\\avant la mise en bocaux -\\senteurs de pêches,H,H,0.0,1.0
1762,du cerisier\\brûle dans l'âtre -\\pluie d'automne,H,H,0.0,1.0
683,avec un gros crayon -\\le prix\\des fraises,H,H,0.0,1.0
1529,le lierre a recouvert\\le trou de la toiture\\- train du retour,H,H,0.0,1.0
407,"faucon, sur un poteau de cloture\\première lueur,\\la pluie une sorte de brouillard.",H,H,0.0,1.0
999,(Dans l'obscurité du matin\\tasse de café en main\\regretter le soleil),F,H,0.0,1.0
1381,pensées vagabondes -\\du sang sur le tranchant\\de la cisaille,H,F,1.0,0.0
1192,bal des pompiers\\elle a ressorti sa robe\\d’avant les enfants,H,F,1.0,0.0
1837,coupant en dés\\des quartiers de pomme -\\la lune à la fenêtre,H,H,0.0,1.0
314,zazen —\\cette mouche qui se heurte\\contre la vitre ensoleillée,H,H,0.0,1.0
1054,givre sur le pare-brise --\\je me souviens combien\\j'ai bu la nuit dernière,H,H,0.0,1.0
2434,Retour de colo\\il parle des rouges-gorges\\d'une autre voix,F,F,1.0,0.0
86,lentement\\le scarabée avance\\tempête de juin,H,H,0.0,1.0
2179,café amer –\\des bris de vitrines\\sous mes semelles,H,F,1.0,0.0
823,dimanche 7/1/7\\le couteau à cheval\\sur la fève,H,F,1.0,0.0
50,Ciel nuageux\\le soleil un rouge vif\\première tasse de café,F,H,0.0,1.0
3013,neige couvre le givre--\\jouant une pièce gaie au violon\\mince lumiere sous ta porte,F,H,0.0,1.0
2142,Blanche\\comme un linceul\\la piste noire,F,F,1.0,0.0
2548,un frisson soudain\\dans le passage à l'ombre -\\l'odeur des aubépines,H,H,0.0,1.0
1567,Page blanche\\l'ombre du stylo\\immobile,H,H,0.0,1.0
1466,le brouillard tourne en pluie\\dernier jour de notre chat,H,H,0.0,1.0
2752,   jour de printemps\\   froid et gris\\   une tasse de thé,F,F,1.0,0.0
1148,La lune sur les cèdres\\dans la forêt pluviale\\l'odeur de toi,F,F,1.0,0.0
2532,vieux pommier -\\un bruit de scie emplit\\l'espace vide,H,H,0.0,1.0
1239,Librairie Sauramps\\Des haïkus du bord de mer\\pour passer l'hiver,H,H,0.0,1.0
1738,Ombres d'épitaphes\\les tombes s'allongent\\au soleil couchant,H,F,1.0,0.0
1921,l'orage ce matin\\un demi-cercle parfait\\du rosier en fleurs,F,H,0.0,1.0
3162,automne profond~\\nichée sur mes doigts l'odeur\\de mandarine,F,F,1.0,0.0
1893,   soir de pleine lune\\   - les seins des mannequins\\   dans la vitrine,H,H,0.0,1.0
2747,après la pluie une rue d'hiver pleine de lunes,H,F,1.0,0.0
1023,nuit sans lune --\\tirant le chien\\d'ombre en ombre,H,H,0.0,1.0
1098,ouvrir la fenêtre\\et humer le lilas blanc\\éclos cette nuit,H,F,1.0,0.0
1612,fumeurs agglutinés --\\une autre conversation\\sur le Cloud,H,H,0.0,1.0
2405,Les bas quadrillés\\sur les belles cuisses de cette femme\\- sudoku ?,H,H,0.0,1.0
2634,ville fantôme --\\un coq chante\\sans aucune raison,H,H,0.0,1.0
2858,personne ne voit\\les kakis rouges du\\jardin abandonné,H,H,0.0,1.0
1445,un ciel gris plane\\une petite fissure dans les nuages épais\\les bateaux de pêche rentrent,F,H,0.0,1.0
103,fin de l’été\\le trou de la poche du short\\encore plus grand,F,H,0.0,1.0
2414,reflets de la lune\\sur les canettes de Coca\\- benne à ferraille,H,F,1.0,0.0
1022,poubelle --\\des mouches\\et les ombres des mouches,H,H,0.0,1.0
101,Touillant le café\\avec ma vieille cuillère ~\\un nouveau jour,H,H,0.0,1.0
391,tonnerre lointain --\\une averse de pollen\\tombe des arbres,H,H,0.0,1.0
3158,gazaouï\\on pourrait croire\\le chant d'un oiseau,H,H,0.0,1.0
2482,une île flottante\\à coups de petite cuillère -\\m'échapper du monde,F,F,1.0,0.0
1511,Vagues sur la plage\\bruit des galets roulant\\sous notre étreinte,F,H,0.0,1.0
2001,le lapin et le faucon --\\une affreuse vérité tache\\de rouge la neige fraîche,H,F,1.0,0.0
3295,halo du lampadaire -\\le merle noir plus noir\\que son ombre,H,F,1.0,0.0
1042,au plus fort de l'été\\où les ombres s'arrêtent\\le chien aussi,H,H,0.0,1.0
970,minuit.\\la ruade unique de l'étalon\\contre le mur,F,F,1.0,0.0
164,Des éclats de rires\\tombent par la fenêtre\\- samedi soir,H,H,0.0,1.0
963,arrêt d'autobus\\ils sont deux à guetter\\un nuage,F,F,1.0,0.0
2964,soleil derrière le nuage\\une petite citrouille chaude\\dans ma paume,F,H,0.0,1.0
1402,Saisons des amours ~\\Les escargots ramassés\\deux par deux,F,H,0.0,1.0
2116,A la porte du cimetière\\trois vieux amis\\parlent rhumatismes,H,H,0.0,1.0
608,à Gaza\\la fumée des chars\\dans l'autre sens,H,F,1.0,0.0
1159,ce matin\\du balcon mouillé\\ramasser les restes de cire\\de la bougie-Charlie,H,F,1.0,0.0
1066,Attendons un peu.\\D'un champ à la menthe.\\La nuit viendra.,F,F,1.0,0.0
1436,nuit de novembre -\\sur mes mains l'odeur\\de l'herbe broyée,H,F,1.0,0.0
1677,allongés coeur contre coeur\\à écouter\\le feu d'artifices,H,H,0.0,1.0
2883,Moisson-\\l'épouvantail veille\\sur la théière,H,H,0.0,1.0
1799,fin du jour\\sur la terrasse une tasse\\reste encore un peu,H,H,0.0,1.0
1001,grêlons cinglants -\\&gt;du bassiste\\&gt;les doigts bleuis,H,F,1.0,0.0
1126,"le jour tombe\\du haut du toit au haut de l'arbre,\\l'écho des corbeaux",H,H,0.0,1.0
2150,écroulée la grange\\de mes premiers baisers -\\froid pénétrant,H,H,0.0,1.0
2517,nuit des étoiles -\\dans ses taches de rousseur\\la grande ourse,H,H,0.0,1.0
2800,Voyage.\\À la station-service.\\La pluie s'arrête.,F,H,0.0,1.0
14,vieille tuile ~\\j'emporte le toit\\du cloporte,H,H,0.0,1.0
1200,dans la brume\\le cou d'une oie\\heure d'hiver,F,H,0.0,1.0
3307,un scorpion\\se hâte dans le patio-\\sirocco,F,H,0.0,1.0
1805,"Sous l'orage qui gronde,\\l'éclair des fleurs\\du sureau",H,H,0.0,1.0
3155,matin noir\\et blanc de brouillard\\et ces croix de bois,H,H,0.0,1.0
2574,musique de carrousel ?\\je vois encore mon frère\\sur le poney de bois peint,F,H,0.0,1.0
2436,Maison abandonnée\\de la fenêtre cassée\\la lune sort,H,H,0.0,1.0
3234,Maison des grands-parents\\souvenir d'enfance\\Dans la voix de la pluie,H,H,0.0,1.0
1552,arthrite -\\un autre verre de vin\\de la main gauche,H,H,0.0,1.0
3306,jour pluvieux de février\\nuage après nuage après nuage\\prière pour un jour clair,F,F,1.0,0.0
2554,place handicapés ~\\une voiture couverte\\de feuilles mortes,H,H,0.0,1.0
2602,petit concert de voitures\\le matin\\pour se mettre en route,H,H,0.0,1.0
1212,entracte\\-- le mort du premier acte\\sert les bières,H,H,0.0,1.0
2043,pleine lune --\\les citrouilles dans le champ\\prêtes à être cueillies,F,F,1.0,0.0
505,la neige tombe\\un peu inclinée\\la lune,F,F,1.0,0.0
2509,Rentrée des classes -\\sur le chemin de l'école\\l'étal du boucher,H,H,0.0,1.0
2728,équinoxe\\toutes les couleurs de l'automne\\dans le ciel,F,H,0.0,1.0
1768,orage -\\le goût sucré\\du poivron frit,F,H,0.0,1.0
245,Jour d'action de grâce -\\récoltes généreuses\\achetées à vil prix,H,F,1.0,0.0
2654,passage du désir -\\j'y donnais souvent rendez-vous\\à ma mère,H,H,0.0,1.0
951,foule au souk\\les abricots en cageots\\suffoquent,F,F,1.0,0.0
674,grommelant quelque chose\\le merle sur le poteau de clôture\\Jour de l'élection -,H,F,1.0,0.0
1046,\\dans une nuit froide\\l'écho vide de ta voix,H,H,0.0,1.0
1263,ciel d'hiver -\\elle ajoute un peu de bleu\\sur ses paupières,H,H,0.0,1.0
3279,rentrée scolaire -\\compter par centaines\\de morts,H,H,0.0,1.0
146,"Le vieux frêne brille\\comme un sapin de noël,\\nuit froide d'avril",H,H,0.0,1.0
2515,froid piquant --\\même les lumières de Noël\\semblent grelotter,H,F,1.0,0.0
2053,miroir\\ce visage face à moi\\plus vieux semble-t-il,F,F,1.0,0.0
2879,bouquet de roses~\\sur sa robe blanche\\quelques gouttes de vin,F,H,0.0,1.0
59,sur tous les objets\\qu'il a regardés ici\\beaucoup de poussière,F,H,0.0,1.0
816,pluie battante\\deux talons aiguilles\\battent le pavé,H,H,0.0,1.0
2652,pleine lune d`octobre\\sur les rails --\\le vent chaud,F,F,1.0,0.0
1540,détacher\\le bouton de dessus de sa blouse\\avec mes yeux,H,H,0.0,1.0
2329,soir d'hiver\\dans la foule un inconnu\\que je connais,F,H,0.0,1.0
2073,"Boulevard Barbès\\femme en sari bleu nuit,\\début d'averse.",H,H,0.0,1.0
2009,signature anonyme\\vieilles empreintes de pigeon\\dans le ciment nu,H,H,0.0,1.0
2489,tas de repassage - \\dans la jupe de l'été \\trois pignons de pins,F,F,1.0,0.0
423,l’alcool joyeux \\du jour précédant \\la pleine lune,H,H,0.0,1.0
224,Parfum de jasmin\\derrière les cyprès la moitié de la lune,H,H,0.0,1.0
2581,le travail terminé\\mon ombre atteint\\les lauriers ensoleillés,H,H,0.0,1.0
2186,Retour à la maison\\son odeur traine\\sont son kimono,F,H,0.0,1.0
535,sur la corde à linge\\les oiseaux en haut\\les épingles en bas,H,H,0.0,1.0
200,mauvaise nouvelle --\\j'ouvre les fenêtres\\pour laisser le froid sortir,H,H,0.0,1.0
1883,endormie dans le train\\la douce montée et descente\\de sa poitrine,H,F,1.0,0.0
625,équinoxe d'automne -\\cherchant un mot pour dire\\le rouge du jasmin,H,H,0.0,1.0
2635,premier thé -\\la nuit transfigurée\\de Schoenberg,H,H,0.0,1.0
477,jour bissextile --\\assis sur ma malette\\pour la fermer,F,H,0.0,1.0
651,fin d'année\\il y a un corbillard\\sur la bande de droite,H,H,0.0,1.0
2627,Soleil couchant\\Ils se lèvent de table\\Pour regarder,H,F,1.0,0.0
949,la guerre -\\des pères\\enterrent des fils,H,F,1.0,0.0
304,des nouvelles de sa rechute --\\si lente\\tombe la pluie,H,H,0.0,1.0
1591,une truite saute\\une plume tombe\\... jour d'émerveillements!,H,H,0.0,1.0
2916,compote de pommes\\bouillonne sur la cuisinière\\matin de novembre,F,H,0.0,1.0
1011,matin silencieux -\\quelques gouttes de lait\\dans mon café noir,H,H,0.0,1.0
2803,promenade du soir -\\le bruit\\d'escargots écrasés,H,H,0.0,1.0
2196,sirènes de police --\\une autre nuit\\sans lune,H,H,0.0,1.0
2780,Temple couvert de neige --\\une femme seule en manteau rouge\\s'agenouille quand même pour prier,F,H,0.0,1.0
2690,premières pousses --\\elle a des herbes jusqu'au capot\\la vieille auto,H,F,1.0,0.0
696,transplantant le jasmin\\une famille de cloportes\\expropriée,H,H,0.0,1.0
8,ciel gris\\trois nouvelles étoiles\\sur le jasmin,F,F,1.0,0.0
1137,lune froide~\\à petit feu\\l'assida blanche*,F,H,0.0,1.0
178,ciel étoilé -\\tout un champ d'éoliennes\\à l'arrêt,H,F,1.0,0.0
1627,verveine orange -\\une première étoile\\puis une deuxième,H,H,0.0,1.0
3166,Arrivée du train-\\les vêtements flottent\\Sur la corde à linge,H,H,0.0,1.0
911,après la pluie\\une flaque remplie\\d'étoiles,H,H,0.0,1.0
1602,Insomnie :\\l'odeur du pain\\qui cuit,H,H,0.0,1.0
323,retour en banlieue -\\sous le lit de feue ma mère\\tout un stock de morphine,H,F,1.0,0.0
1811,promenade d'été\\gouttes de pluie\\vapeur,F,H,0.0,1.0
2899,- rendez-vous -\\la peau du coin de l'ongle\\rongée jusqu'au sang,F,H,0.0,1.0
3204,coup de froid --\\le chien du ferrailleur\\et sa lourde chaïne,H,H,0.0,1.0
1646,mur du cimetière\\la vigne vierge déborde\\rouge en octobre,H,H,0.0,1.0
1773,nouvelle année -\\un autre calendrier\\au même clou,H,F,1.0,0.0
873,averse de juillet~\\quelques gouttes d'eau de fleurs d'oranger\\dans mon café,F,H,0.0,1.0
1656,nouvelle construction --\\on jette à bas\\mon enfance,H,H,0.0,1.0
151,torrent à truites -\\les éphémères dansent\\puis disparaissent,H,H,0.0,1.0
2057,occupying Wall Street\\les fantômes\\de mes rêves de retraite,H,H,0.0,1.0
3143,automne ce matin -\\l'oiseau sur son épaule gauche\\recouvert,H,F,1.0,0.0
1187,ah ce jour d'été\\où me prit soudain une envie\\de loukoum !,F,H,0.0,1.0
2556,lune gibbeuse --\\le bébé remue\\dans son ventre,F,H,0.0,1.0
3175,oiseau de nuit -\\la pupille dilatée\\de la barmaid,H,F,1.0,0.0
1653,abandonné par les oies\\partant vers le sud -\\mon anniversaire d'automne,H,F,1.0,0.0
2561,Orange sanguine\\à mon petit déjeuner\\le soleil se lève,F,F,1.0,0.0
1485,décolletés précoces :\\fruits déjà mûrs\\d'avril,H,H,0.0,1.0
2137,Gold Beach\\un tag délavé\\sur le blockhaus,H,F,1.0,0.0
788,la brume d'automne cache\\l'île à l'horizon\\elle nettoie ses lunettes,F,H,0.0,1.0
1772,la voiture de police ralentit -\\des renards de banlieue\\pillant les poubelles,H,H,0.0,1.0
1798,dénouer \\les cordes d'hamac;\\l'odeur des feuilles brûlées,H,H,0.0,1.0
2002,dans le rétroviseur\\le regard d'amour de la mère\\pour sa fille qui récite,H,H,0.0,1.0
2306,lit défait\\un sourire sur le bord\\de la flûte vide,F,H,0.0,1.0
2188,légères vibrations\\de la balance sous mes pieds-\\bientôt l'équinoxe,F,F,1.0,0.0
1338,paysage d'hiver\\petits poils au-dessus de sa lèvre\\un magazine de mode,F,H,0.0,1.0
1990,terrorisme local --\\des phalènes brumeuses\\sur la porte,H,F,1.0,0.0
2494,cour de récré abandonnée --\\le graffiti\\s'estompe,H,H,0.0,1.0
2427,averse au jardin\\elle a fait naufrage\\la tarte aux pommes,F,H,0.0,1.0
868,le crissement\\de la première feuille\\un doux soupir,F,F,1.0,0.0
899,"ajoutant\\des nuages aux nuages, \\l'incinérateur",H,F,1.0,0.0
1372,gardien de nuit\\faisant ses rondes -\\pleine lune,H,H,0.0,1.0
557,rencart d'après-midi ...\\le tonnerre claque au-dessus de nos têtes\\dans la chaleur collante,F,H,0.0,1.0
1770,"physalis séchés - le couteau noir, posé pour peler l'orange",H,F,1.0,0.0
2170,train bondé --\\l'éclat rouge vif\\de son rouge à lèvres,H,H,0.0,1.0
429,La limace\\et la crotte du chien\\nez à nez,F,H,0.0,1.0
465,"180 morts, 8 attentats\\à Karachi aujourd'hui\\Zidane s'explique à la télé",H,H,0.0,1.0
2781,dans les ruines\\de la maison des dunes\\les orchidées sauvages fleurissent,H,F,1.0,0.0
75,Matin de printemps~\\dans les odeurs de lisier\\vol d'un papillon,F,F,1.0,0.0
3082,nouvelle vague -\\tonnerre de gros galets\\suivis d'écume,F,H,0.0,1.0
933,lune du loup --\\soudain je la vois\\sous un air différent,H,H,0.0,1.0
1480,amitié estivale\\expliquer le Haïku -\\comme l'an dernier,H,H,0.0,1.0
232,bleu profond de la nuit \\la résine et le sel des pins\\si loin de la mer,F,H,0.0,1.0
2819,Salle des I.R.M\\la porte et tous ses symboles\\déjà redoutable,H,H,0.0,1.0
3076,vie sauvage -\\une bestiole passe\\devant la TV,H,H,0.0,1.0
1281,au fond de la malle\\son vieux pinceau à poudrer\\— matin de givre,F,H,0.0,1.0
2321,tard dans la nuit\\avec Ryokan -\\je réchauffe le vin de riz,H,F,1.0,0.0
834,petit déjeuner\\les branches déployées\\du cerisier,F,F,1.0,0.0
808,"Cinq années de haïku\\dans une grande boite de carton\\dessus, le chat",F,F,1.0,0.0
3079,barbe de huit jours -\\le froid de ce soir d'automne\\un peu plus piquant,H,H,0.0,1.0
3281,soir d'anniversaire -\\un bracelet rouge\\offert à ma montre,H,H,0.0,1.0
518,veillant sur\\la pelouse de banlieue\\un Bouddha souriant,H,H,0.0,1.0
55,lendemain de mescal --\\les cloches de l'église\\désynchronisées,H,H,0.0,1.0
1697,une autre poussière\\le lendemain de la pluie\\traces des gouttes,F,F,1.0,0.0
2141,soleil du matin\\les miettes sur la table\\ont une ombre,H,H,0.0,1.0
2526,les deux moitiés\\d'un orvet,H,F,1.0,0.0
1523,chaque soir\\au bout de la route\\l'usine Seveso,H,H,0.0,1.0
1061,volets disjoints -\\juste assez de jour\\pour un haïku,H,H,0.0,1.0
3290,lune voilée~\\si brillants les yeux\\du chat mort,F,H,0.0,1.0
1354,je vide la bouteille de vin -\\une autre conversation\\à propos de Maman,H,H,0.0,1.0
1315,photo d'archive\\les sourires des patineurs\\figés dans le temps,H,F,1.0,0.0
1853,au bout du champ\\deux moineaux sur son chapeau\\- l'épouvantail,H,F,1.0,0.0
2,La cour de la prison\\dans la flaque de la pluie\\la lune,H,H,0.0,1.0
2280,Etang de Walden --\\toutes les places de parking\\occupées,H,F,1.0,0.0
2745,chaleur moite -\\au loin l'épaisse musique\\d'une fête foraine,H,H,0.0,1.0
978,temête dans une théière --\\ma mère\\me sert un déca,H,H,0.0,1.0
1785,appel à l'aube\\bruissement soyeux\\du tapis de prière,F,H,0.0,1.0
1650,se joignant en silence\\à la conversation . . . \\les étoiles sur la prairie,F,H,0.0,1.0
2849,l'houhou de la chouette\\sans réponse\\cette nuit d'automne,F,F,1.0,0.0
2570,sur la terrasse\\mon café miroitant\\sucrer le ciel,H,H,0.0,1.0
632,Le jour s'éteint\\Au coeur du vieux temple\\Le bouddha veille,F,H,0.0,1.0
282,heure de pointe -\\dans les odeurs de déo\\je m' invente un printemps,H,H,0.0,1.0
875,nuit d'équinoxe -\\la couverture un peu plus haut\\sur ses jambes,H,H,0.0,1.0
1547,lumières de Noël\\la silhouette des arbres\\dans le noir,H,H,0.0,1.0
100,epiphanie -\\cloué sur sa croix\\un sapin nu,H,H,0.0,1.0
1132,lune croissante~\\la voisine de nouveau\\enceinte,F,F,1.0,0.0
426,quartier de l'aéroport\\sous les traînées qui s'estompent\\le vol du héron,F,H,0.0,1.0
3125,vent glacial -\\des feuilles mortes se pressent\\sur la pierre du seuil,H,H,0.0,1.0
3031,nuit sans étoiles --\\je finis le vin\\trop vite,H,F,1.0,0.0
720,Mandarines\\disposées en pyramides\\chez l'Egyptien,H,F,1.0,0.0
883,dimanche d'hiver -\\tous mes cheveux\\jetés aux flammes,H,F,1.0,0.0
237,Pleine lune d'hiver -\\un instant mon ombre et moi\\entre les nuages,H,H,0.0,1.0
874,les bourgeons gris\\de la glycine - aujourd'hui\\il aurait seize ans,F,H,0.0,1.0
36,une  alarme\\au loin dans la nuit -\\ses pieds glacés,H,H,0.0,1.0
3100,Premier ciel dégagé -\\entre Orion et sa chienne\\un avion gronde.,H,H,0.0,1.0
2927,brume estivale - \\la ville en ombres chinoises \\du noir au gris,H,F,1.0,0.0
3208,matin d'élection -\\les trois coqs du village\\s'égosillent,H,H,0.0,1.0
3149,tout le jour\\les rugissements d'agonie\\alors que le vieux chêne meurt,H,H,0.0,1.0
569,nouvelle lune --\\une voiture abandonnée\\sur l'allée des amoureux,H,H,0.0,1.0
1516,décès de ma grand-tante -\\un papillon blanc\\traverse le jardin,H,H,0.0,1.0
670,travaux de couture –\\par le chas de l’aiguille\\s’immisce l’automne,H,F,1.0,0.0
117,pleine lune de mars\\tout ça de nouvelles tombes?\\couvertes de fleurs,F,F,1.0,0.0
1735,marée montante ~\\sur le quai des marginaux\\descendant du rhum,H,H,0.0,1.0
1727,abimé par endroits\\jusqu'au bois –\\le bouddha doré,H,H,0.0,1.0
2909,bientôt minuit\\le Père Noël en plastique\\se dégonfle,F,F,1.0,0.0
1331,ablutions matinales -\\le canal en gouttes rondes\\sur le dos d'un canard,H,H,0.0,1.0
2552,par le trou du bagel\\il me montre\\la pleine lune,H,H,0.0,1.0
326,temps cru dehors\\un thé menthe entre les mains\\je médite en silence,H,H,0.0,1.0
950,mi-nuit\\le bruit d'un volet qu'on déroule\\quelque part,F,H,0.0,1.0
1373,dimanche d'automne\\écobuages\\et coups de feu,H,F,1.0,0.0
316,Arbres dénudés\\Plus qu'une touffe de gui\\pour leur tenir chaud,F,H,0.0,1.0
3035,Ta chemise blanche\\soleil suspendu\\dans mon armoire,H,H,0.0,1.0
246,(vente de vieilleries --\\son mari dans la chaise\\qui ne vaut pas la peine de garder),F,H,0.0,1.0
1689,Matin brumeux.\\Sans cesse elle croise ses doigts\\-- marque d'une bague.,H,H,0.0,1.0
315,migrants...\\sans arrêt sans arrêt tombent\\les fleurs de pruniers,H,F,1.0,0.0
926,la lune est noire\\j'entends à des milliers de kilomètres\\un gémissement,H,F,1.0,0.0
2082,Sur l'oreiller\\son bouquet de fleurs sauvages\\ce dernier jour de printemps,F,H,0.0,1.0
641,matin froid\\les souvenirs d'un amour\\flottent dans mon esprit,F,H,0.0,1.0
2841,nuit sans lune -\\la cloche de la bouée\\se parle à elle-même,F,H,0.0,1.0
2648,écran des horaires\\l'araignée a tissé sa toile\\entre deux trams --,H,H,0.0,1.0
456,mille et une nuits\\encore un conte pour l’enfant\\à l’hôpital,F,F,1.0,0.0
1457,arrivé au bout de la tige\\le liseron se dresse\\vers le ciel,H,H,0.0,1.0
131,lune gibbeuse-\\par une voix de femme\\envouté,H,H,0.0,1.0
149,pluie continue\\pour rappeler le soleil \\un rhum arrangé,H,H,0.0,1.0
3217,toute la nuit\\elles arpentent les trottoirs\\les feuilles mortes,H,H,0.0,1.0
3177,bottes en caoutchouc\\ah les années\\de boue,H,F,1.0,0.0
295,le vieux du mas\\est parti - des rejets\\au pied des oliviers,H,H,0.0,1.0
