,Haiku,Sexe réel,Sexe prédit,Proba prédite homme,Proba prédite femme
1278,chaleur moite-\\dans le potager l'éclat\\d'une luciole,H,F,1.0,0.0
73,lueur du réveil\\à la fenêtre\\la pleine lune,H,H,0.0,1.0
922,le vent du métro\\arrive à soulever une page -\\haïkaï,H,H,0.0,1.0
176,tiroir du bureau -\\l'été dernier\\en carte mémoire,H,H,0.0,1.0
1507,chez l'antiquaire --\\au fond de l'armoire vide\\les rais du soleil,F,F,1.0,0.0
531,arrêt de bus vide --\\les feuilles d'automne tourbillonnent\\dans le sillage de l'auto,F,H,0.0,1.0
1330,haïku\\des ricochets dans l'eau\\d'un lac,F,H,0.0,1.0
2356,ma tension monte -\\une trainée de condensation\\dans le ciel,H,H,0.0,1.0
87,suprématie blanche -\\le brouillard et la nuit\\se répandent,H,F,1.0,0.0
2508,météo matinale -\\entre les lames du store\\un tiret de ciel gris,H,H,0.0,1.0
1623,grand magasin\\du matin au soir -\\dans son caddy sa maison,F,F,1.0,0.0
1584,En ce jour sombre et gris\\mes pensées vagabondent vers une paire\\d'iris bleus,F,F,1.0,0.0
2839,"Maison d'enfance,\\reste le puits à manivelle.",H,H,0.0,1.0
538,Ciels brumeux\\les cèdres moins sombres\\ce jour d'été,F,F,1.0,0.0
403,"le prunus, tout rose     face à l'échoppe du fleuriste    fermée le lundi!",H,F,1.0,0.0
1713,nuit américaine\\... les techniciens\\se bousculent,H,F,1.0,0.0
1088,ma maison d’enfance\\par un carreau entrevoir\\l’obscurité,H,H,0.0,1.0
19,Grande surface -\\on m'apprend qu'il s'est poignardé\\en pleine garrigue,H,H,0.0,1.0
1251,heure d'hiver -\\le feuillage du prunus\\change de couleur,H,H,0.0,1.0
2933,la pelle mécanique\\dans le pré\\efface le ciel,H,H,0.0,1.0
2407,manif sociale\\des chants de grues migratrices\\survolent le bouchon,H,H,0.0,1.0
2546,restes de vin aigre\\dans le fond des verres\\brume matinale,H,H,0.0,1.0
654,nuée en approche\\sur mon café du midi\\pas une ride,H,H,0.0,1.0
1521,papillon de nuit -\\le choix entre deux mêmes\\lampes japonaises,H,H,0.0,1.0
2387,elle regarde ses\\photos d'enfance\\mon amie plus vieille que moi,H,H,0.0,1.0
2336,Fin de la tempête~\\de très loin\\l'aboiement d'un chien,H,H,0.0,1.0
198,Avant de se quitter\\disperser les braises -\\envol des lucioles,H,F,1.0,0.0
1453,(mince volute de nuage\\la lente spirale de creme\\dans mon expresso),H,H,0.0,1.0
1493,Au-dessus de la maison\\Le même nuage que l'an passé\\Presque,H,H,0.0,1.0
239,A chaque halte\\chacun son arbuste -\\buissons de fleurs jaunes,F,F,1.0,0.0
148,Epiphanie --\\les Rois Mages à l'étoile\\massacrent les enfants,H,F,1.0,0.0
2441,   bruits de guerre --\\   je retire les décorations\\   de l'arbre de Noël,H,H,0.0,1.0
3213,froid de l'automne . . .\\au loin le coup de sifflet\\du train du soir,F,H,0.0,1.0
1108,Pleins d'épingles\\journaux de guerre\\dans le magasin de mon voisin,H,H,0.0,1.0
292,foyer pour femmes battues -\\sur son corps\\cinquante nuances de bleu,H,H,0.0,1.0
982,(coucher de soleil de Pâques\\une croix teintée de rouge\\de trainées d'avion),H,H,0.0,1.0
1578,sur le tarmac gris\\sous la pluie du retour\\le bus jaune,H,H,0.0,1.0
2101,tremblement de terre de cette nuit --\\les arbres sans feuilles\\au soleil,H,H,0.0,1.0
2097,fête des pères --\\un est assis sur le trottoir\\la pluie remplit sa tasse,H,F,1.0,0.0
2549,pousses d'épeautre-\\des vieilles maisons abandonnées\\au long de l'autoroute,H,H,0.0,1.0
147,terminal vide --\\les titres de l'actualité\\pour des fantômes,H,F,1.0,0.0
2643,averse de neige -\\les mannequins de la vitrine\\en robes d'été,H,H,0.0,1.0
2103,nous buvons un thé sucré\\en silence . . .\\une mère de soldat,F,F,1.0,0.0
2748,Froidement\\Il brûle la canne de son père\\pour se réchauffer,F,H,0.0,1.0
258,Un peu de son temps\\Avec moi\\Le piéride,H,H,0.0,1.0
1413,printemps en ville\\retour des hirondelles\\et des jeunes roumaines,H,H,0.0,1.0
1969,chutes de neige\\le sachet de thé s'enfonce\\lentement dans l'eau,H,H,0.0,1.0
607,Dans la soupe aux algues\\elle nage encore\\la crevette,H,F,1.0,0.0
2477,Lundi de Pâques-\\absent depuis plusieurs jours\\le chat est de retour,H,F,1.0,0.0
461,maison de campagne\\insectes et animaux\\admis,H,F,1.0,0.0
796,encore l'odeur de cordite\\des restes feux d'artifices\\nid de serpents,H,H,0.0,1.0
2017,crépuscule d'été --\\les instructions\\pour mes cendres,H,F,1.0,0.0
1079,pluie d'été --\\le sourire las\\du nain de jardin,H,H,0.0,1.0
1156,Prêt pour l'hiver\\l'épouvantail\\en bottes de pluie,H,F,1.0,0.0
247,Veillée du nouvel-an --\\les bulles montent une fois de plus\\dans les vieilles flûtes de cristal,F,H,0.0,1.0
1585,pluies de mars\\la machine à laver\\sur cycle long,H,F,1.0,0.0
2432,"Oh, une pluie froide\\emplit à nouveau la rivière\\de ses cercles",H,H,0.0,1.0
3297,Ouverture de chasse –\\La pesanteur du brouillard\\sur mes épaules,F,F,1.0,0.0
3059,neige attendue –\\sur les draps repassés\\un parfum de lavande,H,H,0.0,1.0
1027,bac à vaisselle  -\\une Afrique dérive\\au-dessus des plats,H,H,0.0,1.0
3142,(l'anniversaire de mon fils\\ne pas partager le gateau\\chasser la mouette),F,H,0.0,1.0
3126,bourrasques glacées --\\le fossoyeur creuse une tombe\\au marteau-piqueur,F,H,0.0,1.0
2830,débat télévisé -\\ses seins affalés\\dans le corsage,H,F,1.0,0.0
2194,le cimetière\\notre raccourci glacé\\à travers le brouillard hivernal,H,H,0.0,1.0
3309,thé du soir\\la vitre de la cuisine\\voilée de vapeur,H,H,0.0,1.0
478,poussière grise\\sur la cheminée de marbre -\\et ta photo,H,F,1.0,0.0
2782,Coquilles d'escargots\\vides -\\premières pousses,H,H,0.0,1.0
2860,Du brouillard.\\Le minaret de la grande mosquée.\\Dans le vide.,F,H,0.0,1.0
556,La fourmi\\parle à une autre\\sur le câble du téléphone,H,H,0.0,1.0
985,salle de classe -\\l'âne de la crèche\\regarde par la fenêtre,H,H,0.0,1.0
143,une goutte sur la vitre ...\\ma langue tout à l heure\\sur sa peau,H,H,0.0,1.0
680,fin d'été -\\collecte des monnaies votives de cuivre\\au fond du puits,H,H,0.0,1.0
1211,dernier jour de l'an\\-- traces de luges rouillées\\dans la neige d'hier,F,H,0.0,1.0
1633,marché aux puces\\une culotte de femme\\d'avant la libération,H,H,0.0,1.0
503,feuillages d'automne -\\les yeux rivés sur l'écran\\de son portable,H,H,0.0,1.0
345,ciel menaçant --\\le bourdonnement\\d'une ligne électrique,H,H,0.0,1.0
2945,Au deuxième jour -\\les résolutions d'hier\\avec l'eau du bain,F,H,0.0,1.0
3289,Chaud réveillon\\Seins au balcon\\Place aux frissons,H,H,0.0,1.0
2319,brûlant une à une\\de vieilles lettres d'amour -\\un peu de fumée grise,H,H,0.0,1.0
2490,bruit de tondeuse -\\des violettes sauvages\\tapies sous la haie,H,F,1.0,0.0
1178,Lune parfaitement ronde\\Buée sur la vitre,H,H,0.0,1.0
1961,banlieue rouge -\\le champ lexical\\en jachère,H,F,1.0,0.0
1242,midi ensoleillé\\l'espace entre nous\\se remplit de chaleur,F,H,0.0,1.0
1920,assis par terre \\son épaule dénudée \\sans bras,H,H,0.0,1.0
1084,lendemain d'orage -\\sur les draps mis à sécher\\un papillon blanc,H,F,1.0,0.0
1229,ciel de neige -\\acheter une carotte\\pour le bonhomme,H,F,1.0,0.0
638,la rue se calme - \\se lève des arbres \\le bruit du vent,H,F,1.0,0.0
134,salle d'attente du cardio~\\la guerre\\à portée de main,F,H,0.0,1.0
2713,notes de révision\\je brosse le sable\\entre les trous,H,H,0.0,1.0
218,luttant sur\\la boue du site de construction\\les jonquilles,H,H,0.0,1.0
1062,matin radieux d'automne~\\un soupçon de je ne sais quoi\\dans le café,F,F,1.0,0.0
2527,matin blanc\\loin là-bas des hôpitaux\\bombardés,F,F,1.0,0.0
2187,ballon de baudruche...\\lentement la fête\\s'éloigne,F,H,0.0,1.0
1221,A minuit\\la corne de brume dans le brouillard\\roses jaunes,F,F,1.0,0.0
1881,ablation du sein\\entre la vie et la mort\\le tatouage du papillon,H,H,0.0,1.0
1601,Maison de la famille \\le goût du bonheur reste encore \\dans le vieux cerisier,H,H,0.0,1.0
994,nuit sans sommeil -\\la pleine lune esr arrivée\\à l'autre fenêtre,H,H,0.0,1.0
201,blanches\\les pages de mes carnets\\je n'aime pas l'hiver,H,H,0.0,1.0
1699,à son chant répond\\les harpons du vieux Japon\\baleine au printemps,H,H,0.0,1.0
1930,journée mondiale du sida -\\je réinstalle\\mon antivirus,H,H,0.0,1.0
2959,au coeur de la nuit\\le ronron des ventilations\\entre deux sirènes hurlantes,H,H,0.0,1.0
302,parking souterrain\\la panique du petit \\papillon blanc,F,F,1.0,0.0
3225,"dans les hautes branches\\traînent,\\des restants du jour",H,F,1.0,0.0
1731,"Dans le champ de blé,\\deux grandes dalles blanches\\tournées vers l'Orient",H,H,0.0,1.0
3073,fin de roman -\\un reste de café froid\\au fond de ma tasse,H,H,0.0,1.0
2273,nuit d'automne -\\le murmure effervescent\\de l'aspirine,H,H,0.0,1.0
1375,Éclair -\\ton visage\\dans l'obscurité,H,H,0.0,1.0
289,Sieste des enfants\\Sur la table de la cuisine\\deux mouches forniquent,H,H,0.0,1.0
1056,deux bottes de blettes\\dans le tchich* ~\\jour pluvieux,F,F,1.0,0.0
1321,Après le Solstice\\déjà sentir le toucher\\de l'hiver,F,H,0.0,1.0
2253,dégel -\\sur le polder les canards\\remplacent les patineurs,H,H,0.0,1.0
3033,(cohue dans la gare --\\le tap tap\\de la canne d'un aveugle),H,H,0.0,1.0
154,mercredi des Cendres -\\la touffe de jonquilles\\s'apprête à fleurir,H,H,0.0,1.0
1829,marché de Noël -\\une étoile dans la flaque\\de neige noire,H,H,0.0,1.0
2986,Vatican illuminé\\Place vide entre barrières et policiers\\Lumière artificielle,H,H,0.0,1.0
1652,12 novembre -\\le devoir de mémoire\\dansle brouillard,F,F,1.0,0.0
1544,journée de pluie;\\je mets de l'ordre dans\\mes aquarelles,H,H,0.0,1.0
2630,ciels gris  les dernières roses roses de notre voisin par-dessus la clôture,H,H,0.0,1.0
102,aube méditation le frigo et moi fredonnons,H,H,0.0,1.0
1287,fin de journée -\\la voix éraillée\\du distributeur bancaire,H,H,0.0,1.0
1957,porte entrouverte -\\les guirlandes s'illuminent\\une seconde,F,H,0.0,1.0
487,jour froid\\l'odeur de praline emplit\\le souk,F,F,1.0,0.0
1546,café bondé --\\le barrista se trompe\\dans mon nom,H,H,0.0,1.0
1306,pluie de décembre --\\un appel téléphonique\\de mon fils,H,H,0.0,1.0
434,Cinquante-neuf ans ~\\le noir profond de la lune\\à peine entamé,H,F,1.0,0.0
946, chemin de l'école\\deux vaches portent avec leurs cornes\\le soleil,F,H,0.0,1.0
2372,pluie de fin d'été~\\tous ces vieux objets\\dans la cave,F,H,0.0,1.0
498,lune gibbeuse --\\tout ce qui reste\\de l'été,H,F,1.0,0.0
3141,vendredi noir -\\la lente dégringolade\\d'une feuille morte,H,F,1.0,0.0
1530,musée de l'armée --\\les casques allemands\\sont attachés,H,H,0.0,1.0
567,sous l'arbre vert\\ramassant des figues sèches~\\jour d'équinoxe,F,F,1.0,0.0
3056,à mesure\\que la pénombre descend\\l'orange de l'azalée,H,H,0.0,1.0
2908,dehors la tempête\\dans les tasses le café\\redouble d’arôme,F,H,0.0,1.0
1980,[premier décembre ---\\les bandes délimitantes de la police se cramponnent\\à la grange brûlée],H,H,0.0,1.0
336,les bourses s'effondrent -\\premières feuilles mortes\\dans la rue,H,H,0.0,1.0
2048,au pied de la banque -\\des pissenlits\\en fleurs,H,H,0.0,1.0
1868,Grosse ronde lune\\Au-dessus du champ de blé\\Cigales et criquets.,F,H,0.0,1.0
3210,Vendredi Saint --\\les graines de pissenlit\\dans le vent,H,H,0.0,1.0
113,pleine lune sans nuages\\cinq doigts tambourinent\\sur-une-chute-de-reins,F,H,0.0,1.0
2593,pluie froide d'avril --\\le sédiment\\au fond\\d'un verre de vin,H,H,0.0,1.0
1691,milieu de nuit\\le biseau de l'aiguille\\trouve la veine,H,H,0.0,1.0
3006,demi-lune d'Août\\le dernier quartier de melon\\déchaîne les mouchettes,F,H,0.0,1.0
2151,heure de pointe du matin\\sur le bord de la route\\des pruniers sauvages,H,H,0.0,1.0
1537,gouttes bruyantes\\pas feutrés dans l'escalier\\l'imprimante ronronne,H,H,0.0,1.0
2087,mes doigts sur les touches du clavier - la pluie aux carreaux,H,H,0.0,1.0
3318,A l'hopital\\regarder les nuages passer\\une aiguille acérée dans la main,F,F,1.0,0.0
1391,devant la banque\\des grilles et des CRS -\\le printemps revient,H,H,0.0,1.0
1425,marée basse -\\l'odeur d'une gaufre\\au bord de l'eau,H,F,1.0,0.0
2470,   Federal Express\\   m'a trouvée dans le brouillard\\   collier de plumeria,F,F,1.0,0.0
1912,année bissextile -\\la canne du vieil homme\\laisse aussi ses traces,H,H,0.0,1.0
996,Cerises en mars\\L'été toute l'année\\Au supermarché,H,H,0.0,1.0
122,nuages chair de poisson\\sur le pare-brise de l'ambulance,F,H,0.0,1.0
106,lever de soleil sur la ville\\ces vieux immeubles\\ont de longues ombres,H,H,0.0,1.0
2077,aurore boréale\\la vapeur monte\\de la tasse de café,H,H,0.0,1.0
2014,Perseïdes . . . \\quelque part une vache\\appelle après son veau,F,F,1.0,0.0
2535,le chauffeur de taxi\\me raconte sa vie --\\pluie d'automne,H,F,1.0,0.0
2656,siège social\\sur les vitres étincelantes\\un oiseau se fracasse.,H,F,1.0,0.0
1004,"Comme les chauves-souris\\à l'envers,\\les chaises du café dorment",F,H,0.0,1.0
1519,Nuit d'hiver~\\entre deux pinces à linge\\les étoiles,F,H,0.0,1.0
618,pluie d'été\\un autre moi rentre à la maison\\sous moi,H,H,0.0,1.0
932,entre deux\\immeubles décrépits—\\un peuplier dans la lumière de fin du jour,H,H,0.0,1.0
647,cieux clairs --\\une corneille solitaire\\sur un fil à haute tension,H,H,0.0,1.0
2547,ces chants d'oiseaux\\après les déflagrations -\\vivre debout,H,H,0.0,1.0
2486,carnet de haïkus -\\un moucheron s'est posé\\entre bleu et ciel,H,H,0.0,1.0
2723,nuages d'hiver ---\\mes cheveux gris\\plus gris,H,H,0.0,1.0
3087,dans l'espace\\d'un om . . . \\d'innombrables gouttes de pluie,H,F,1.0,0.0
300,lune des longues nuits -\\de l'horloge de la gare\\les aiguilles lentes,H,H,0.0,1.0
350,loupe de l'arbre\\l'été révèle\\mes vieilles cicatrices,H,H,0.0,1.0
1471,"Parvis d'église,\\l'œil mort du mendiant\\couleur de lune",H,H,0.0,1.0
2704,Robinet gelé !\\Une chaussette égarée\\En guise de moufle,H,H,0.0,1.0
58,tableau de bord ~\\au dessus du gilet jaune\\un piège à rêves,H,H,0.0,1.0
545,fraîche matinée\\la boule du châtaignier\\bien fermée,F,F,1.0,0.0
1205,au milieu du champ\\une baignoire en fonte\\pleine de ciel,H,H,0.0,1.0
1672,sur le trottoir\\les feuilles s'agitent\\bientôt la pleine lune,H,F,1.0,0.0
2271,claquement\\des capsules de l'euphorbe -\\l'après-midi lente,H,H,0.0,1.0
2600,Déshabillée\\elle parfume mes poignets\\la mandarine,F,H,0.0,1.0
3136,jour de rentrée~\\le silence tombe \\sur le mûrier,F,H,0.0,1.0
1676,ici un prunus\\et là un forsythia -\\jour des Rameaux,H,H,0.0,1.0
2327,le trou de la sécu-\\le chemisier rose pale\\de la pharmacienne,H,H,0.0,1.0
880,au gré du vent\\sur son matelas pneumatique –\\monde flottant,H,F,1.0,0.0
2837,changement climatique____________\\quelques soutiens gorges léopards______ font leur apparition,H,F,1.0,0.0
380,choisir sa monture\\hypnotisé par les miches\\de l'opticienne,H,H,0.0,1.0
2891,bruine d'automne\\acidulée et fraiche\\la pomme verte,F,H,0.0,1.0
1851,Une semaine plus tard\\moins de roses dans\\un vase plus mince,H,H,0.0,1.0
3314,dans mon miroir\\le visage de ma grand-mère\\déjà,F,H,0.0,1.0
1550,Le village abandonné\\de la poignée de la porte\\des gouttes de pluie tombent,H,H,0.0,1.0
89,Retour des oies\\des dizaines de lettres\\dans ma boîte,H,H,0.0,1.0
508,dernier jour de l'an ~\\dans un rayon de soleil\\la poussière des livres,H,H,0.0,1.0
684,tram du soir\\son diamant sur le nez\\une étoile,H,H,0.0,1.0
3106,"Café serré,\\sur la colline la brume\\efface la biche",H,F,1.0,0.0
924,"au creux de l'écluse,\\le bateau s'élève - dedans,\\une religieuse",H,H,0.0,1.0
2687,   (Premier jour d'octobre\\   le soleil du matin dans mes yeux\\   bruit métallique de la chaudière),F,F,1.0,0.0
1468,La boîte si grande\\pour un minuscule biscuit\\sans gluten,H,H,0.0,1.0
2398,hors du puits\\dans un seau j'attrape\\une lune,H,H,0.0,1.0
313,l'écorce du pommier\\rongée un peu plus haut\\cette année,F,H,0.0,1.0
2848,Mercredi des Cendres --\\le prêtre\\allume une cigarette,H,H,0.0,1.0
817,marée basse -\\le silence des coquillages\\sous la pleine lune,H,H,0.0,1.0
2015,Eveillée à 4 heures du matin\\Les cris des bernaches du Canada\\Le printemps est là,F,F,1.0,0.0
1304,cimetière militaire -\\le vent effiloche drapeaux\\et cerisiers roses,H,F,1.0,0.0
408,sommeil troublé --\\quelque part dans le noir\\une porte mal fermée,H,H,0.0,1.0
1279,Balade en Chautagne\\juste un chemin de lumière\\soleil sur le lac,F,H,0.0,1.0
1903,nuit d'émeutes-\\après le petit dej\\ramasser les miettes,H,F,1.0,0.0
3144,le slip rouge\\de la violoncelliste -\\concert à Luçon,H,H,0.0,1.0
2464,matin d'anniversaire -\\mes empreintes sur la plage\\un peu plus profondes,H,H,0.0,1.0
1203,arrêt de bus --\\un parfum de femme\\dans l'air,H,H,0.0,1.0
648,un bic à la main\\elle compte ses vidanges\\et moi ses atouts,H,F,1.0,0.0
2708,dernière tonte -\\du sac d'herbe s'échappe\\la brume du soir,H,F,1.0,0.0
1044,après-midi d'été -\\par toutes les fenêtres\\je vois des bambous,H,H,0.0,1.0
3130,tout autour\\de la centrale électrique\\les lumières jaunes des champs de colza,H,H,0.0,1.0
913,près de son lit\\une poche de sang suspendue -\\au dehors...les baies de sorbier,H,H,0.0,1.0
2510,fleur  de cactus --\\je n'avais pas réalisé\\qu'elle connaissait mon nom,H,H,0.0,1.0
28,Heidegger en main\\un vieil homme déambule -\\fleurs de Magnolia,H,H,0.0,1.0
192,(jeune mère fatiguée -\\des feuilles brunes\\tombent des arbres verts),F,H,0.0,1.0
2719,éternuement surprise\\le pissenlit se disperse\\sans un souhait,F,F,1.0,0.0
1910,comme l'année dernière\\le cerisier en fleurs\\cache les buildings,H,H,0.0,1.0
1160,rue de l'u\\la librairie ésotérique\\a disparu,H,H,0.0,1.0
3090,saison de pluie _\\elle rentre sous le préau\\la corde à linge,F,F,1.0,0.0
217,"""tumeur maligne...""\\dans les deux poings du fermier\\des mauvaises herbes",H,H,0.0,1.0
105,la petite\\n'arrive pas à dormir\\lune du loup,H,H,0.0,1.0
2121,Un nid de cigognes\\au-dessus de la maison abandonnée.\\La pluie ne s'arrête pas !,H,H,0.0,1.0
1572,crachin d'hiver ~\\le crissement métallique\\des outils qu'on gratte,H,F,1.0,0.0
3199,feux d'artifices du nouvel an -\\dans leur nouvelle maison \\les enfants réveillés des réfugiés hurlent,H,H,0.0,1.0
1542,j'enfile mes chaussettes\\elle me parle\\de sucres lents,H,H,0.0,1.0
284,caisse de l'hyper -\\sur les paquets de yaourts\\de la dentelle noire,H,H,0.0,1.0
2701,mort du peintre\\un mois après l'encre séchée\\au fond de la pierre,H,H,0.0,1.0
2647,ton message à l'aube\\balaie cette odeur de pluie ~\\thé aux notes boisées,F,F,1.0,0.0
2112,avant les poubelles\\après les poubelles\\le chant de la grive,H,F,1.0,0.0
109,Thanksgiving pluvieux --\\les yeux fixes\\d'un chien du refuge,H,H,0.0,1.0
1047,jours courts~\\ma place au soleil\\dans la bibliothèque,F,F,1.0,0.0
1145,pelouse tondue ras --\\on a laissé les herbes grandir\\tout contre la vieille église,H,H,0.0,1.0
1478,averse nocturne -\\une planche de bois neuve\\au banc de l'écluse,H,H,0.0,1.0
1663,"18eme anniversaire de ma fille\\les rayons du soleil, chauds\\dans ses cheveux",H,H,0.0,1.0
1874,route quotidienne -\\de la grisaille d'octobre\\le sumac se moque,H,H,0.0,1.0
1565,salle d'attente\\les étoiles apparaissent\\une par une,H,H,0.0,1.0
142,son nom sur le marbre;\\naissance et mort\\l'espace entre,H,F,1.0,0.0
2005,la lisière de son slip\\sur ses belles petites fesses\\à quai,H,H,0.0,1.0
90,le mari au travail ?\\le facteur sonne\\pour voir le nouveau-né,F,H,0.0,1.0
3004,Bouton du gilet\\Petit bruit sur l'asphalte\\Lune si proche,H,H,0.0,1.0
3283,   (le brouillard se lève\\   la visage d'un vieil ami\\   à ma promenade du matin),F,H,0.0,1.0
2789,les chats en chaleur-\\un profond soupir\\sur un lit froid,F,H,0.0,1.0
2169,accrochés\\au fil barbelé\\de la laine et du vent,H,H,0.0,1.0
2411,cette araignée\\au-dessus du compost\\comme elle est grasse !,H,H,0.0,1.0
3014,février\\qui de lui ou la lune\\m'a réveillée ?,F,H,0.0,1.0
263,rouges et brillants\\parmi les pétales desséchés\\ses ongles de pied,H,H,0.0,1.0
1460,le nom\\que je ne voulais pas voir -\\café amer,H,F,1.0,0.0
1946,Lune d'hiver -\\des péripatéticiennes\\frappent dans leurs mains,F,F,1.0,0.0
2099,flaque d'eau sur la grève\\son petit pied disparaît\\dans un nuage,H,H,0.0,1.0
3156,Chardons en fleur -\\Dans l'amas de tôle\\Un bras,H,H,0.0,1.0
2446,Ecole buissonnière\\dans la rangée des fourmis\\une à contresens,H,H,0.0,1.0
3095,"Rentrée d'automne,\\un papillon blanc\\dans le métro",H,H,0.0,1.0
1474,grange en ruine -\\une odeur de paille\\au soleil couchant,H,H,0.0,1.0
2497,Emménagement\\Un salon bien ordonné\\Dans le camion,H,F,1.0,0.0
1611,papier journal -\\les pointes des haricots\\sur la nécrologie,H,H,0.0,1.0
2622,mon stylo vide\\en laissant entrer la nuit\\je recharge,H,F,1.0,0.0
166,dans la cour vide\\seuls des sachets en plastique\\font la ronde,H,H,0.0,1.0
27,carrefour\\le coeur brun\\d'une pomme,F,F,1.0,0.0
672,muezzin de l'aube-\\les ronrons du chat\\dans mon oreille,F,F,1.0,0.0
1196,bruit de l'aspirateur -\\le soleil se cache\\derrière un nuage,H,F,1.0,0.0
573,Lingerie fine -\\le parfum des roses\\après la pluie,F,F,1.0,0.0
112,lune du chasseur --\\elle me demande si j'ai trouvé\\ce que je cherchais,H,H,0.0,1.0
2191,L'automne est parti\\cette nuit et ce matin\\l'été d'une mangue,H,H,0.0,1.0
597,(le froid soudain--\\une fraîche couche de glace\\sur la sortie de secours),H,H,0.0,1.0
2442,éclair à la fenêtre --\\le train arrêté\\dans l'orage,H,H,0.0,1.0
2484,"Ascension,\\le soleil\\dans mon café noir",H,H,0.0,1.0
833,insomnie\\la danse des étoiles\\un moment,F,H,0.0,1.0
1107,le soleil levant -\\dans la vitre givrée\\un amas d'étoiles,H,H,0.0,1.0
2553,changement climatique -\\les fleurs du magnolia\\noyées dans le vert,H,H,0.0,1.0
377,Pont Jacques-Cartier\\Au matin une brume dense\\Les autos disparaissent,F,H,0.0,1.0
